date yyyy-mm-dd,numdate,measles
1890-10-11,1890.7781,59
1890-10-18,1890.7973,54
1890-10-25,1890.8164,74
1890-11-1,1890.8356,108
1890-11-8,1890.8548,131
1890-11-15,1890.874,183
1890-11-22,1890.8932,141
1890-11-29,1890.9123,236
1890-12-6,1890.9315,238
1890-12-13,1890.9507,269
1890-12-20,1890.9699,319
1890-12-27,1890.989,253
1891-1-3,1891.0082,298
1891-1-10,1891.0274,390
1891-1-17,1891.0466,413
1891-1-24,1891.0658,453
1891-1-31,1891.0849,433
1891-2-7,1891.1041,447
1891-2-14,1891.1233,462
1891-2-21,1891.1425,367
1891-2-28,1891.1616,384
1891-3-7,1891.1808,421
1891-3-14,1891.2,425
1891-3-21,1891.2192,405
1891-3-28,1891.2384,354
1891-4-4,1891.2575,386
1891-4-11,1891.2767,342
1891-4-18,1891.2959,327
1891-4-25,1891.3151,396
1891-5-2,1891.3342,390
1891-5-9,1891.3534,325
1891-5-16,1891.3726,392
1891-5-23,1891.3918,346
1891-5-30,1891.411,329
1891-6-6,1891.4301,370
1891-6-13,1891.4493,343
1891-6-20,1891.4685,254
1891-6-27,1891.4877,244
1891-7-4,1891.5068,188
1891-7-11,1891.526,250
1891-7-18,1891.5452,218
1891-7-25,1891.5644,165
1891-8-1,1891.5836,133
1891-8-8,1891.6027,91
1891-8-15,1891.6219,87
1891-8-22,1891.6411,67
1891-8-29,1891.6603,52
1891-9-5,1891.6795,56
1891-9-12,1891.6986,24
1891-9-19,1891.7178,38
1891-9-26,1891.737,48
1891-10-3,1891.7562,38
1891-10-10,1891.7753,27
1891-10-17,1891.7945,37
1891-10-24,1891.8137,40
1891-10-31,1891.8329,28
1891-11-7,1891.8521,41
1891-11-14,1891.8712,45
1891-11-21,1891.8904,45
1891-11-28,1891.9096,69
1891-12-5,1891.9288,85
1891-12-12,1891.9479,70
1891-12-19,1891.9671,126
1891-12-26,1891.9863,83
1892-1-2,1892.0055,117
1892-1-9,1892.0246,156
1892-1-16,1892.0437,120
1892-1-23,1892.0628,160
1892-1-30,1892.082,112
1892-2-6,1892.1011,141
1892-2-13,1892.1202,176
1892-2-20,1892.1393,209
1892-2-27,1892.1585,265
1892-3-5,1892.1776,366
1892-3-12,1892.1967,331
1892-3-19,1892.2158,248
1892-3-26,1892.235,368
1892-4-2,1892.2541,430
1892-4-9,1892.2732,502
1892-4-16,1892.2923,448
1892-4-23,1892.3115,529
1892-4-30,1892.3306,628
1892-5-7,1892.3497,733
1892-5-14,1892.3689,758
1892-5-21,1892.388,807
1892-5-28,1892.4071,747
1892-6-4,1892.4262,565
1892-6-11,1892.4454,551
1892-6-18,1892.4645,421
1892-6-25,1892.4836,318
1892-7-2,1892.5027,278
1892-7-9,1892.5219,270
1892-7-16,1892.541,270
1892-7-23,1892.5601,219
1892-7-30,1892.5792,149
1892-8-6,1892.5984,163
1892-8-13,1892.6175,115
1892-8-20,1892.6366,85
1892-8-27,1892.6557,73
1892-9-3,1892.6749,59
1892-9-10,1892.694,44
1892-9-17,1892.7131,37
1892-9-24,1892.7322,24
1892-10-1,1892.7514,30
1892-10-8,1892.7705,31
1892-10-15,1892.7896,26
1892-10-22,1892.8087,40
1892-10-29,1892.8279,32
1892-11-5,1892.847,60
1892-11-12,1892.8661,28
1892-11-19,1892.8852,55
1892-11-26,1892.9044,60
1892-12-3,1892.9235,77
1892-12-10,1892.9426,78
1892-12-17,1892.9617,126
1892-12-24,1892.9809,100
1892-12-31,1893,93
1893-1-7,1893.0192,99
1893-1-14,1893.0384,94
1893-1-21,1893.0575,97
1893-1-28,1893.0767,78
1893-2-4,1893.0959,79
1893-2-11,1893.1151,76
1893-2-18,1893.1342,82
1893-2-25,1893.1534,96
1893-3-4,1893.1726,109
1893-3-11,1893.1918,119
1893-3-18,1893.211,112
1893-3-25,1893.2301,109
1893-4-1,1893.2493,114
1893-4-8,1893.2685,117
1893-4-15,1893.2877,132
1893-4-22,1893.3068,151
1893-4-29,1893.326,138
1893-5-6,1893.3452,168
1893-5-13,1893.3644,170
1893-5-20,1893.3836,165
1893-5-27,1893.4027,180
1893-6-3,1893.4219,166
1893-6-10,1893.4411,190
1893-6-17,1893.4603,190
1893-6-24,1893.4795,224
1893-7-1,1893.4986,161
1893-7-8,1893.5178,173
1893-7-15,1893.537,216
1893-7-22,1893.5562,174
1893-7-29,1893.5753,185
1893-8-5,1893.5945,169
1893-8-12,1893.6137,138
1893-8-19,1893.6329,111
1893-8-26,1893.6521,80
1893-9-2,1893.6712,78
1893-9-9,1893.6904,57
1893-9-16,1893.7096,48
1893-9-23,1893.7288,39
1893-9-30,1893.7479,49
1893-10-7,1893.7671,41
1893-10-14,1893.7863,63
1893-10-21,1893.8055,88
1893-10-28,1893.8247,88
1893-11-4,1893.8438,135
1893-11-11,1893.863,140
1893-11-18,1893.8822,182
1893-11-25,1893.9014,170
1893-12-2,1893.9205,212
1893-12-9,1893.9397,223
1893-12-16,1893.9589,267
1893-12-23,1893.9781,289
1893-12-30,1893.9973,292
1894-1-6,1894.0164,392
1894-1-13,1894.0356,455
1894-1-20,1894.0548,604
1894-1-27,1894.074,527
1894-2-3,1894.0932,554
1894-2-10,1894.1123,594
1894-2-17,1894.1315,534
1894-2-24,1894.1507,470
1894-3-3,1894.1699,450
1894-3-10,1894.189,439
1894-3-17,1894.2082,309
1894-3-24,1894.2274,375
1894-3-31,1894.2466,335
1894-4-7,1894.2658,324
1894-4-14,1894.2849,298
1894-4-21,1894.3041,286
1894-4-28,1894.3233,294
1894-5-5,1894.3425,263
1894-5-12,1894.3616,269
1894-5-19,1894.3808,180
1894-5-26,1894.4,133
1894-6-2,1894.4192,152
1894-6-9,1894.4384,123
1894-6-16,1894.4575,122
1894-6-23,1894.4767,117
1894-6-30,1894.4959,86
1894-7-7,1894.5151,61
1894-7-14,1894.5342,59
1894-7-21,1894.5534,41
1894-7-28,1894.5726,42
1894-8-4,1894.5918,27
1894-8-11,1894.611,16
1894-8-18,1894.6301,31
1894-8-25,1894.6493,11
1894-9-1,1894.6685,14
1894-9-8,1894.6877,17
1894-9-15,1894.7068,14
1894-9-22,1894.726,24
1894-9-29,1894.7452,8
1894-10-6,1894.7644,18
1894-10-13,1894.7836,18
1894-10-20,1894.8027,30
1894-10-27,1894.8219,10
1894-11-3,1894.8411,29
1894-11-10,1894.8603,25
1894-11-17,1894.8795,52
1894-11-24,1894.8986,47
1894-12-1,1894.9178,47
1894-12-8,1894.937,75
1894-12-15,1894.9562,42
1894-12-22,1894.9753,78
1894-12-29,1894.9945,52
1895-1-5,1895.0137,64
1895-1-12,1895.0329,78
1895-1-19,1895.0521,82
1895-1-26,1895.0712,65
1895-2-2,1895.0904,61
1895-2-9,1895.1096,60
1895-2-16,1895.1288,79
1895-2-23,1895.1479,94
1895-3-2,1895.1671,120
1895-3-9,1895.1863,159
1895-3-16,1895.2055,152
1895-3-23,1895.2247,147
1895-3-30,1895.2438,154
1895-4-6,1895.263,189
1895-4-13,1895.2822,202
1895-4-20,1895.3014,231
1895-4-27,1895.3205,231
1895-5-4,1895.3397,256
1895-5-11,1895.3589,277
1895-5-18,1895.3781,236
1895-5-25,1895.3973,297
1895-6-1,1895.4164,342
1895-6-8,1895.4356,333
1895-6-15,1895.4548,322
1895-6-22,1895.474,249
1895-6-29,1895.4932,251
1895-7-6,1895.5123,198
1895-7-13,1895.5315,210
1895-7-20,1895.5507,190
1895-7-27,1895.5699,170
1895-8-3,1895.589,163
1895-8-10,1895.6082,135
1895-8-17,1895.6274,99
1895-8-24,1895.6466,123
1895-8-31,1895.6658,84
1895-9-7,1895.6849,68
1895-9-14,1895.7041,60
1895-9-21,1895.7233,38
1895-9-28,1895.7425,56
1895-10-5,1895.7616,37
1895-10-12,1895.7808,40
1895-10-19,1895.8,53
1895-10-26,1895.8192,51
1895-11-2,1895.8384,64
1895-11-9,1895.8575,112
1895-11-16,1895.8767,119
1895-11-23,1895.8959,168
1895-11-30,1895.9151,167
1895-12-7,1895.9342,224
1895-12-14,1895.9534,242
1895-12-21,1895.9726,234
1895-12-28,1895.9918,253
1896-1-4,1896.0109,286
1896-1-11,1896.0301,287
1896-1-18,1896.0492,333
1896-1-25,1896.0683,430
1896-2-1,1896.0874,394
1896-2-8,1896.1066,432
1896-2-15,1896.1257,518
1896-2-22,1896.1448,479
1896-2-29,1896.1639,523
1896-3-7,1896.1831,441
1896-3-14,1896.2022,569
1896-3-21,1896.2213,425
1896-3-28,1896.2404,573
1896-4-4,1896.2596,434
1896-4-11,1896.2787,490
1896-4-18,1896.2978,535
1896-4-25,1896.3169,471
1896-5-2,1896.3361,456
1896-5-9,1896.3552,360
1896-5-16,1896.3743,342
1896-5-23,1896.3934,361
1896-5-30,1896.4126,280
1896-6-6,1896.4317,289
1896-6-13,1896.4508,227
1896-6-20,1896.4699,213
1896-6-27,1896.4891,176
1896-7-4,1896.5082,155
